"","X1","titles","artists","song_id","release_year","release_date","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","onBillboard","artist.id","artist.popularity"
"1",0,"Old Town Road - Remix","Lil Nas X","6u7jPi22kF8CTQ3rb9DHE7",2019,2019-04-05,0.0533,0.878,157067,0.619,0,6,0.113,-5.56,1,0.102,136.041,4,0.639,1,"7jVv8c5Fj3E9VhNjxT4snq",90
"2",1,"If I Can't Have You","Shawn Mendes","6LsAAHotRLMOHfCsSfYCsz",2019,2019-05-03,0.533,0.682,190800,0.813,0,2,0.168,-4.17,1,0.065,123.897,4,0.818,1,"7n2wHs1TKAczGzO7Dd2rGr",91
"3",2,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift","4Sib57MmYGJzSvkW84jTwh",2019,2019-04-26,0.0324,0.715,193040,0.832,0,0,0.112,-4.08,1,0.0502,91.006,4,0.66,1,"06HL4z0CvFAxyc27GXpf02",92
"4",3,"Sucker","Jonas Brothers","4y3OI86AEP6PQoDE6olYhO",2019,2019-03-01,0.0427,0.842,181040,0.734,0,1,0.106,-5.065,0,0.0588,137.958,4,0.952,1,"7gOdHgIoIKoe4i9Tta6qdD",86
"5",4,"Homicide","Logic","0Lw6aQcBFWTQ9m4MSwwwes",2019,2019-05-03,0.177,0.686,245413,0.771,0,10,0.178,-5.579,0,0.397,140.036,4,0.771,1,"4xRYI6VqpkE3UwrDrAZL8L",90
"6",5,"Wow.","Post Malone","6MWtB6iiXyIwun0YzU6DFP",2018,2018-12-24,0.163,0.833,149520,0.539,2.1e-06,11,0.101,-7.399,0,0.178,99.947,4,0.385,1,"246dkjvS1zLTtiykXe5h60",96
"7",6,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","1A6OTy97kk0mMdm78rHsm8",2018,2018-10-18,0.551,0.753,158053,0.498,0,2,0.0706,-5.61,1,0.0504,89.95,4,0.927,1,"246dkjvS1zLTtiykXe5h60",96
"8",7,"Without Me","Halsey","5p7ujcrUXASCNwRaWNHR1C",2018,2018-10-04,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533,1,"26VFTg2z8YR0cCuwLzESi2",92
"9",8,"bad guy","Billie Eilish","2Fxmhks0bxGSBdJ92vM42m",2019,2019-03-29,0.328,0.701,194088,0.425,0.13,7,0.1,-10.965,1,0.375,135.128,4,0.562,1,"6qqNVTkY8uBg9cP3Jd7DAH",100
"10",9,"7 rings","Ariana Grande","14msK75pk3pA33pzPVNtBF",2019,2019-01-18,0.578,0.725,178640,0.321,0,1,0.0884,-10.744,0,0.323,70.142,4,0.319,1,"66CXWjxzNUsdJxJ2JdwvnR",97
"11",10,"Dancing With A Stranger (with Normani)","Sam Smith","6Qs4SXO9dwPj5GKvVOv8Ki",2019,2019-01-11,0.45,0.741,171030,0.52,1.97e-06,8,0.222,-7.513,1,0.0656,102.998,4,0.347,1,"2wY79sveU1sp5g7SokKOiI",90
"12",11,"Talk","Khalid","0rTV5WefWd1J3OwIheTzxM",2019,2019-02-07,0.0501,0.9,197487,0.4,0,0,0.0876,-8.443,1,0.124,136.001,4,0.338,1,"6LuN9FCkKOj5PcnpouEgny",97
"13",12,"Sweet but Psycho","Ava Max","25sgk305KZfyuqVBQIahim",2018,2018-08-17,0.0691,0.719,187436,0.704,0,1,0.166,-4.724,1,0.0476,133.002,4,0.628,1,"4npEfmQ6YuiwW1GpUmaq3F",85
"14",13,"MIDDLE CHILD","J. Cole","2JvzF1RMd7lE3KmFlsyZD8",2019,2019-01-23,0.149,0.837,213594,0.364,0,8,0.271,-11.713,1,0.276,123.984,4,0.463,1,"6l3HvQ5sa6mXTsMTB19rO5",90
"15",14,"break up with your girlfriend, i'm bored","Ariana Grande","4kV4N9D1iKVxx1KLvtTpjS",2019,2019-02-08,0.0421,0.726,190440,0.554,0,5,0.106,-5.29,0,0.0917,169.999,4,0.335,1,"66CXWjxzNUsdJxJ2JdwvnR",97
"16",15,"Happier","Marshmello","2dpaYNEQHiRxtZbfNsse99",2018,2018-08-17,0.191,0.687,214290,0.792,0,5,0.167,-2.749,1,0.0452,100.015,4,0.671,1,"64KEffDW9EtZ1y2vBYgq8T",92
"17",16,"Going Bad (feat. Drake)","Meek Mill","2IRZnDFmlqMuOrYOLnZZyc",2018,2018-11-30,0.259,0.889,180522,0.496,0,4,0.252,-6.365,0,0.0905,86.003,4,0.544,1,"20sxb77xiYeusSH8cVdatc",86
"18",17,"Eastside (with Halsey & Khalid)","benny blanco","0d2iYfpKoM0QCKvcLCkBao",2018,2018-07-12,0.555,0.56,173800,0.68,0,6,0.116,-7.648,0,0.321,89.391,4,0.319,1,"5CiGnKThu5ctn9pBxv7DGa",84
"19",18,"Shallow","Lady Gaga","5lK18Pt33xNudq4qYDxIm8",2018,2018-09-27,0.382,0.568,215733,0.401,0,7,0.262,-6.341,1,0.0297,95.796,4,0.296,1,"1HY2Jd0NmPuamShAr6KMms",90
"20",19,"High Hopes","Panic! At The Disco","1rqqCSm0Qe4I9rUvWncaom",2018,2018-06-22,0.193,0.579,190947,0.904,0,5,0.064,-2.729,1,0.0618,82.014,4,0.681,1,"20JZFwl6HVl6yg8a4H3ZqK",88
"21",20,"Better","Khalid","4T3fNx3CgwDRRYgmFCbD4J",2018,2018-09-14,0.0984,0.442,229413,0.585,0.391,0,0.14,-10.332,0,0.0964,97.565,4,0.116,1,"6LuN9FCkKOj5PcnpouEgny",97
"22",21,"Suge","DaBaby","2gwkD6igEhQbDQegRCcdoB",2019,2019-03-01,0.0608,0.876,163320,0.662,0,2,0.127,-6.482,0,0.426,75.445,4,0.844,1,"4r63FhuTkUYltbVAg5TQnk",81
"23",22,"Please Me","Cardi B","0PG9fbaaHFHfre2gUVo7AN",2019,2019-02-15,0.0642,0.747,200890,0.57,0,1,0.0832,-6.711,1,0.081,133.992,4,0.65,1,"4kYSro6naA4h99UJvo89HB",92
"24",23,"Pure Water (with Migos)","Mustard","63cd4JkwGgYJrbOizbfmsp",2019,2019-01-16,0.172,0.68,194520,0.559,0,0,0.318,-5.545,1,0.129,202.006,4,0.137,1,"0YinUQ50QDB7ZxSCLyQ40k",80
"25",24,"Girls Like You (feat. Cardi B)","Maroon 5","6FRLCMO5TUHTexlWo8ym1W",2018,2018-05-30,0.568,0.851,235545,0.541,0,0,0.13,-6.825,1,0.0505,124.959,4,0.448,1,"04gDigrS5kc9YWfZHwBETP",89
"26",25,"SICKO MODE","Travis Scott","2xLMifQCjDGFmkHkpNLD9h",2018,2018-08-03,0.00513,0.834,312820,0.73,0,8,0.124,-3.714,1,0.222,155.008,4,0.446,1,"0Y5tJX1MQlPlqiwlOH1tJY",94
"27",26,"Look Back At It","A Boogie Wit da Hoodie","3Ol2xnObFdKV9pmRD2t9x8",2018,2018-12-21,0.407,0.791,179449,0.587,0,3,0.148,-5.075,0,0.0413,96.057,4,0.536,1,"31W5EY0aAly4Qieq6OFu6I",89
"28",27,"Whiskey Glasses","Morgan Wallen","6foY66mWZN0pSRjZ408c00",2018,2018-04-27,0.364,0.615,234347,0.68,1.75e-06,6,0.115,-4.582,1,0.0286,149.992,4,0.702,1,"4oUHIQIBe0LHzYfvXNW4QM",74
"29",28,"Act Up","City Girls","4eIT2gZ0WZyJpgfmoD6saJ",2018,2018-11-16,0.0171,0.938,158332,0.638,0,8,0.111,-4.696,1,0.188,97.07,4,0.313,1,"37hAfseJWi0G3Scife12Il",75
"30",29,"a lot","21 Savage","2t8yVaLvJ0RenpXUIAC52d",2018,2018-12-21,0.0395,0.837,288624,0.636,0.00125,1,0.342,-7.643,1,0.086,145.972,4,0.274,1,"1URnnhqYAYcrqrcwql10ft",90
"31",30,"Con Calma","Daddy Yankee","5w9c2J52mkdntKOmRLeM2m",2019,2019-01-24,0.11,0.737,193227,0.86,1.94e-06,8,0.0574,-2.652,0,0.0593,93.989,4,0.656,1,"4VMYDCV2IEDYJArk749S6m",93
"32",31,"Beautiful Crazy","Luke Combs","2rxQMGVafnNaRaXlRMWPde",2018,2018-06-01,0.676,0.552,193200,0.402,0,11,0.0928,-7.431,1,0.0262,103.313,4,0.382,1,"718COspgdWOnwOFpJHRZHS",82
"33",32,"God's Country","Blake Shelton","1dyxS3YzBbL0t8rEVwVQ1K",2019,2019-03-29,0.0608,0.538,205107,0.752,5.39e-06,10,0.118,-5.106,1,0.0396,139.984,4,0.217,1,"1UTPBmNbXNTittyMJrNkvw",76
"34",33,"Here With Me","Marshmello","5icOoE6VgqFKohjWWNp0Ac",2019,2019-03-08,0.0623,0.791,156347,0.565,0,5,0.156,-3.933,0,0.0439,99.961,4,0.181,1,"64KEffDW9EtZ1y2vBYgq8T",92
"35",34,"Envy Me","Calboy","05t7JMip6JrLuSrMV5yYjX",2018,2018-12-13,0.282,0.556,120137,0.481,0,11,0.216,-7.663,1,0.313,149.025,4,0.581,1,"0HkcYmcjrBR3SCw9Ld5VZk",75
"36",35,"Thotiana","Blueface","3oh6SCCeLuXhFpEyepla6G",2018,2018-12-18,0.18,0.906,129264,0.382,0,10,0.113,-12.89,0,0.269,104.025,4,0.391,1,"3Fl1V19tmjt57oBdxXKAjJ",82
"37",36,"Be Alright","Dean Lewis","3EPXxR3ImUwfayaurPi3cm",2018,2018-06-29,0.697,0.553,196373,0.586,0,11,0.0813,-6.319,1,0.0362,126.684,4,0.443,1,"3QSQFmccmX81fWCUSPTS7y",83
"38",37,"Eyes On You","Chase Rice","5AnSllIrgGsCZzZJkVnApx",2017,2017-11-17,0.323,0.606,182493,0.652,0,9,0.201,-6.982,1,0.0281,97.155,4,0.476,1,"6pBNfggcZZDCmb0p92OnGn",70
"39",38,"Pop Out (feat. Lil TJay)","Polo G","5AjINjwKyRvQJhSe2zpPHi",2019,2019-02-01,0.121,0.861,166640,0.621,0,1,0.0689,-7.106,1,0.362,83.976,4,0.254,1,"6AgTAQt8XS6jRWi4sX7w49",76
"40",39,"when the party's over","Billie Eilish","43zdsphuZLzwA9k4DJhU0I",2019,2019-03-29,0.978,0.367,196077,0.111,3.97e-05,4,0.0897,-14.084,1,0.0972,82.642,4,0.198,1,"6qqNVTkY8uBg9cP3Jd7DAH",100
"41",40,"Drip Too Hard","Lil Baby","1BxkZE73h9BN3qwuA15TA3",2018,2018-09-12,0.0945,0.9,145603,0.653,0,1,0.528,-6.962,0,0.289,112.503,4,0.399,1,"5f7VJjfbwm532GiveGC0ZK",88
"42",41,"Good as You","Kane Brown","1D07CwYBPqu8NbQTdu9C1g",2018,2018-11-09,0.4,0.634,192053,0.516,0,8,0.142,-6.05,1,0.0373,153.831,4,0.769,1,"3oSJ7TBVCWMDMiYjXNiCKE",79
"43",42,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding","5JEx7HbmvHQQswJCsoo9rA",2018,2018-10-24,0.0969,0.574,182623,0.758,0,1,0.395,-5.029,0,0.0621,144.111,4,0.492,1,"0X2BH1fck6amBIoJhDVmmJ",86
