"","ID","Title","Rel_Date","Budget"
"1",299534,"Avengers: Endgame",2019-04-24,500000000
"2",299537,"Captain Marvel",2019-03-06,152000000
"3",456740,"Hellboy",2019-04-10,50000000
"5",299536,"Avengers: Infinity War",2018-04-25,300000000
"6",287947,"Shazam!",2019-03-23,80000000
"8",24428,"The Avengers",2012-04-25,220000000
"9",438650,"Cold Pursuit",2019-02-07,60000000
"10",99861,"Avengers: Age of Ultron",2015-04-22,280000000
"11",450465,"Glass",2019-01-16,20000000
"13",284054,"Black Panther",2018-02-13,200000000
"14",535167,"The Wandering Earth",2019-02-05,48000000
"15",284053,"Thor: Ragnarok",2017-10-25,180000000
"16",447404,"POKÉMON Detective Pikachu",2019-05-03,150000000
"18",445629,"Fighting with My Family",2019-02-14,11000000
"19",283995,"Guardians of the Galaxy Vol. 2",2017-04-19,200000000
"20",487297,"What Men Want",2019-02-08,20000000
"21",166428,"How to Train Your Dragon: The Hidden World",2019-01-03,129000000
"22",118340,"Guardians of the Galaxy",2014-07-30,170000000
"23",424783,"Bumblebee",2018-12-15,135000000
"24",329996,"Dumbo",2019-03-27,170000000
"25",491418,"Instant Family",2018-11-16,48000000
"26",504172,"The Mule",2018-12-14,50000000
"27",324857,"Spider-Man: Into the Spider-Verse",2018-12-07,90000000
"30",263115,"Logan",2017-02-28,97000000
"32",532671,"The Prodigy",2019-02-06,6000000
"33",363088,"Ant-Man and the Wasp",2018-07-04,140000000
"35",458723,"Us",2019-03-14,20000000
"36",271110,"Captain America: Civil War",2016-04-27,240000000
"38",10195,"Thor",2011-04-21,150000000
"39",522681,"Escape Room",2019-01-03,9000000
"40",438674,"Dragged Across Concrete",2019-02-21,15000000
"41",76617,"Texas Chainsaw 3D",2013-01-03,10000000
"42",297802,"Aquaman",2018-12-07,160000000
"44",280217,"The Lego Movie 2: The Second Part",2019-01-26,100000000
"46",1771,"Captain America: The First Avenger",2011-07-22,140000000
"47",76338,"Thor: The Dark World",2013-10-29,170000000
"48",390634,"Fate/stay night: Heaven’s Feel II. lost butterfly",2019-01-12,14
"50",512196,"Happy Death Day 2U",2019-02-13,9000000
"52",404368,"Ralph Breaks the Internet",2018-11-20,175000000
"54",335983,"Venom",2018-09-28,116000000
"55",137113,"Edge of Tomorrow",2014-05-27,178000000
"57",399579,"Alita: Battle Angel",2019-01-31,170000000
"59",284052,"Doctor Strange",2016-10-25,166000000
"60",10138,"Iron Man 2",2010-04-28,200000000
"61",347375,"Mile 22",2018-08-16,35000000
"62",375588,"Robin Hood",2018-11-20,100000000
"63",61012,"Silent Hill: Revelation 3D",2012-10-10,20000000
"67",77948,"The Cold Light of Day",2012-04-04,20000000
"68",442249,"The First Purge",2018-07-04,13000000
"69",245891,"John Wick",2014-10-22,20000000
"70",287424,"Maggie",2015-05-08,4000000
"73",383498,"Deadpool 2",2018-05-10,110000000
"75",157433,"Pet Sematary",2019-04-04,21000000
"76",487558,"BlacKkKlansman",2018-07-30,15000000
"77",471507,"Destroyer",2018-12-25,9000000
"78",68721,"Iron Man 3",2013-04-18,200000000
"79",428078,"Mortal Engines",2018-11-27,100000000
"80",395990,"Death Wish",2018-03-02,30000000
"81",41439,"Saw: The Final Chapter",2010-10-21,20000000
"83",298250,"Jigsaw",2017-10-26,10000000
"84",424694,"Bohemian Rhapsody",2018-10-24,52000000
"85",400650,"Mary Poppins Returns",2018-12-13,130000000
"87",339877,"Loving Vincent",2017-06-22,5500000
"88",460019,"Truth or Dare",2018-04-12,3500000
"89",460885,"Mandy",2018-09-13,6000000
"90",429197,"Vice",2018-12-25,60000000
"91",300681,"Replicas",2018-10-25,30000000
