"","track_name","album","artist","track_type","release_date","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1","bad guy","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish","album",2019-03-29,100,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,"audio_features","2Fxmhks0bxGSBdJ92vM42m","spotify:track:2Fxmhks0bxGSBdJ92vM42m","https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m","https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m",194088,4
"2","Old Town Road - Remix","Old Town Road","Lil Nas X","single",2019-04-05,97,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,"audio_features","6u7jPi22kF8CTQ3rb9DHE7","spotify:track:6u7jPi22kF8CTQ3rb9DHE7","https://api.spotify.com/v1/tracks/6u7jPi22kF8CTQ3rb9DHE7","https://api.spotify.com/v1/audio-analysis/6u7jPi22kF8CTQ3rb9DHE7",157067,4
"3","ME! (feat. Brendon Urie of Panic! At The Disco)","ME!","Taylor Swift","single",2019-04-26,93,0.715,0.832,0,-4.08,1,0.0502,0.0324,0,0.112,0.66,91.006,"audio_features","4Sib57MmYGJzSvkW84jTwh","spotify:track:4Sib57MmYGJzSvkW84jTwh","https://api.spotify.com/v1/tracks/4Sib57MmYGJzSvkW84jTwh","https://api.spotify.com/v1/audio-analysis/4Sib57MmYGJzSvkW84jTwh",193040,4
"4","Homicide","Homicide","Logic","single",2019-05-03,85,0.686,0.771,10,-5.579,0,0.397,0.177,0,0.178,0.771,140.036,"audio_features","0Lw6aQcBFWTQ9m4MSwwwes","spotify:track:0Lw6aQcBFWTQ9m4MSwwwes","https://api.spotify.com/v1/tracks/0Lw6aQcBFWTQ9m4MSwwwes","https://api.spotify.com/v1/audio-analysis/0Lw6aQcBFWTQ9m4MSwwwes",245413,4
"5","If I Can't Have You","If I Can't Have You","Shawn Mendes","single",2019-05-03,85,0.682,0.813,2,-4.17,1,0.065,0.533,0,0.168,0.818,123.897,"audio_features","6LsAAHotRLMOHfCsSfYCsz","spotify:track:6LsAAHotRLMOHfCsSfYCsz","https://api.spotify.com/v1/tracks/6LsAAHotRLMOHfCsSfYCsz","https://api.spotify.com/v1/audio-analysis/6LsAAHotRLMOHfCsSfYCsz",190800,4
"6","Old Town Road","Old Town Road","Lil Nas X","single",2019-03-14,96,0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,"audio_features","53CJANUxooaqGOtdsBTh7O","spotify:track:53CJANUxooaqGOtdsBTh7O","https://api.spotify.com/v1/tracks/53CJANUxooaqGOtdsBTh7O","https://api.spotify.com/v1/audio-analysis/53CJANUxooaqGOtdsBTh7O",113013,4
"7","SOS","SOS","Avicii","single",2019-04-10,95,0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,"audio_features","6nDKrPlXdpomGBgAlO7UdP","spotify:track:6nDKrPlXdpomGBgAlO7UdP","https://api.spotify.com/v1/tracks/6nDKrPlXdpomGBgAlO7UdP","https://api.spotify.com/v1/audio-analysis/6nDKrPlXdpomGBgAlO7UdP",157202,4
"8","Con Calma","Con Calma","Daddy Yankee","single",2019-01-24,97,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,"audio_features","5w9c2J52mkdntKOmRLeM2m","spotify:track:5w9c2J52mkdntKOmRLeM2m","https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m","https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m",193227,4
"9","Sunflower - Spider-Man: Into the Spider-Verse","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","Various Artists","compilation",2018-12-14,96,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,"audio_features","3KkXRkHbMCARz0aVfEt68P","spotify:track:3KkXRkHbMCARz0aVfEt68P","https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P","https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P",158040,4
"10","7 rings","thank u, next","Ariana Grande","album",2019-02-08,91,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,"audio_features","6ocbgoVGwYJhOv1GgI9NsF","spotify:track:6ocbgoVGwYJhOv1GgI9NsF","https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF","https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF",178627,4
"11","Sucker","Sucker","Jonas Brothers","single",2019-03-01,96,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,"audio_features","4y3OI86AEP6PQoDE6olYhO","spotify:track:4y3OI86AEP6PQoDE6olYhO","https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO","https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO",181040,4
