"","track_name","album","artist","track_type","release_date","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1","I Don't Care (with Justin Bieber)","I Don't Care (with Justin Bieber)","Ed Sheeran","single",2019-05-10,91,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,"audio_features","3HVWdVOQ0ZA45FuZGSfvns","spotify:track:3HVWdVOQ0ZA45FuZGSfvns","https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns","https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns",219947,4
"2","bad guy","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish","album",2019-03-29,100,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,"audio_features","2Fxmhks0bxGSBdJ92vM42m","spotify:track:2Fxmhks0bxGSBdJ92vM42m","https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m","https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m",194088,4
"3","Old Town Road - Remix","Old Town Road","Lil Nas X","single",2019-04-05,98,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,"audio_features","6u7jPi22kF8CTQ3rb9DHE7","spotify:track:6u7jPi22kF8CTQ3rb9DHE7","https://api.spotify.com/v1/tracks/6u7jPi22kF8CTQ3rb9DHE7","https://api.spotify.com/v1/audio-analysis/6u7jPi22kF8CTQ3rb9DHE7",157067,4
"4","If I Can't Have You","If I Can't Have You","Shawn Mendes","single",2019-05-03,92,0.682,0.813,2,-4.17,1,0.065,0.533,0,0.168,0.818,123.897,"audio_features","6LsAAHotRLMOHfCsSfYCsz","spotify:track:6LsAAHotRLMOHfCsSfYCsz","https://api.spotify.com/v1/tracks/6LsAAHotRLMOHfCsSfYCsz","https://api.spotify.com/v1/audio-analysis/6LsAAHotRLMOHfCsSfYCsz",190800,4
"5","Homicide (feat. Eminem)","Confessions of a Dangerous Mind","Logic","album",2019-05-10,73,0.694,0.759,10,-5.667,0,0.398,0.137,0,0.167,0.77,140.055,"audio_features","2MuMD298IpYqKF367wegUd","spotify:track:2MuMD298IpYqKF367wegUd","https://api.spotify.com/v1/tracks/2MuMD298IpYqKF367wegUd","https://api.spotify.com/v1/audio-analysis/2MuMD298IpYqKF367wegUd",245387,4
"6","Sunflower - Spider-Man: Into the Spider-Verse","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","Various Artists","compilation",2018-12-14,95,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,"audio_features","3KkXRkHbMCARz0aVfEt68P","spotify:track:3KkXRkHbMCARz0aVfEt68P","https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P","https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P",158040,4
"7","Truth Hurts","Cuz I Love You (Deluxe)","Lizzo","album",2019-05-03,84,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,"audio_features","5qmq61DAAOUaW8AUo8xKhh","spotify:track:5qmq61DAAOUaW8AUo8xKhh","https://api.spotify.com/v1/tracks/5qmq61DAAOUaW8AUo8xKhh","https://api.spotify.com/v1/audio-analysis/5qmq61DAAOUaW8AUo8xKhh",173325,4
"8","Talk","Free Spirit","Khalid","album",2019-04-05,89,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,"audio_features","6TqXcAFInzjp0bODyvrWEq","spotify:track:6TqXcAFInzjp0bODyvrWEq","https://api.spotify.com/v1/tracks/6TqXcAFInzjp0bODyvrWEq","https://api.spotify.com/v1/audio-analysis/6TqXcAFInzjp0bODyvrWEq",197573,4
"9","Suge","Baby On Baby","DaBaby","album",2019-03-01,85,0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,"audio_features","2gwkD6igEhQbDQegRCcdoB","spotify:track:2gwkD6igEhQbDQegRCcdoB","https://api.spotify.com/v1/tracks/2gwkD6igEhQbDQegRCcdoB","https://api.spotify.com/v1/audio-analysis/2gwkD6igEhQbDQegRCcdoB",163320,4
"10","ME! (feat. Brendon Urie of Panic! At The Disco)","ME!","Taylor Swift","single",2019-04-26,94,0.715,0.832,0,-4.08,1,0.0502,0.0324,0,0.112,0.66,91.006,"audio_features","4Sib57MmYGJzSvkW84jTwh","spotify:track:4Sib57MmYGJzSvkW84jTwh","https://api.spotify.com/v1/tracks/4Sib57MmYGJzSvkW84jTwh","https://api.spotify.com/v1/audio-analysis/4Sib57MmYGJzSvkW84jTwh",193040,4
"11","MIDDLE CHILD","MIDDLE CHILD","J. Cole","single",2019-01-23,92,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,"audio_features","2JvzF1RMd7lE3KmFlsyZD8","spotify:track:2JvzF1RMd7lE3KmFlsyZD8","https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8","https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8",213594,4
"12","Swervin (feat. 6ix9ine)","Hoodie SZN","A Boogie Wit da Hoodie","album",2018-12-21,92,0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,"audio_features","1wJRveJZLSb1rjhnUHQiv6","spotify:track:1wJRveJZLSb1rjhnUHQiv6","https://api.spotify.com/v1/tracks/1wJRveJZLSb1rjhnUHQiv6","https://api.spotify.com/v1/audio-analysis/1wJRveJZLSb1rjhnUHQiv6",189487,4
"13","Pop Out (feat. Lil TJay)","Pop Out (feat. Lil TJay)","Polo G","single",2019-02-01,86,0.861,0.621,1,-7.106,1,0.362,0.121,0,0.0689,0.254,83.976,"audio_features","5AjINjwKyRvQJhSe2zpPHi","spotify:track:5AjINjwKyRvQJhSe2zpPHi","https://api.spotify.com/v1/tracks/5AjINjwKyRvQJhSe2zpPHi","https://api.spotify.com/v1/audio-analysis/5AjINjwKyRvQJhSe2zpPHi",166640,4
