"","ID","Title","Rel_Date","Budget"
"1",456740,"Hellboy","2019-04-10",50000000
"2",447404,"POKÉMON Detective Pikachu","2019-05-03",150000000
"3",445629,"Fighting with My Family","2019-02-14",11000000
"4",487297,"What Men Want","2019-02-08",20000000
"12",453755,"Arctic","2018-07-26",2000000
"14",468224,"Tolkien","2019-05-03",16000000
"17",457136,"Mary Queen of Scots","2018-12-07",25000000
"19",400157,"Wonder Park","2019-03-14",100000000
"22",505058,"Unfriended: Dark Web","2018-07-19",1000000
"28",463319,"Shadow","2018-09-30",44000
"32",18320,"The Young Victoria","2009-03-04",35000000
"35",297725,"The Man Who Killed Don Quixote","2018-05-19",19116000
"41",527641,"Five Feet Apart","2019-03-15",5000000
"43",411728,"The Professor and the Madman","2019-03-07",25000000
"44",361292,"Suspiria","2018-10-11",20000000
"91",489928,"Blaze","2018-08-17",1200000
"101",373226,"Belzebuth","2019-01-11",3600000
"105",543033,"Ruben Brandt, Collector","2018-06-22",4000000
"117",502858,"Divine","2019-05-13",1000000
"140",596433,"Roadkill","2019-05-20",2000
"209",591572,"The Spy Behind Home Plate","2019-05-24",1500000
